Form | Field / Question | Type | Required | Source / Logic | Implementation Note
Form 6 – General Medical & Surgical Services, and Pharmacy | Investigations – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 6 – General Medical & Surgical Services, and Pharmacy | Investigations – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 6 – General Medical & Surgical Services, and Pharmacy | Orders (incl. order sets & packages) – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 6 – General Medical & Surgical Services, and Pharmacy | Orders (incl. order sets & packages) – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 6 – General Medical & Surgical Services, and Pharmacy | Procedures/surgeries – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 6 – General Medical & Surgical Services, and Pharmacy | Procedures/surgeries – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 6 – General Medical & Surgical Services, and Pharmacy | Results and follow-up – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 6 – General Medical & Surgical Services, and Pharmacy | Results and follow-up – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 6 – General Medical & Surgical Services, and Pharmacy | Emergency workflow – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 6 – General Medical & Surgical Services, and Pharmacy | Emergency workflow – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 6 – General Medical & Surgical Services, and Pharmacy | Prescription order, dispensing, reconciliation and reporting (incl. ADR, AMR, ABR, MDR) – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 6 – General Medical & Surgical Services, and Pharmacy | Prescription order, dispensing, reconciliation and reporting (incl. ADR, AMR, ABR, MDR) – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 6 – General Medical & Surgical Services, and Pharmacy | Patient Applications features and synchronization – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 6 – General Medical & Surgical Services, and Pharmacy | Patient Applications features and synchronization – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 6 – General Medical & Surgical Services, and Pharmacy | Physician/Nursing Mobile Applications – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 6 – General Medical & Surgical Services, and Pharmacy | Physician/Nursing Mobile Applications – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 6 – General Medical & Surgical Services, and Pharmacy | AI integrations – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 6 – General Medical & Surgical Services, and Pharmacy | AI integrations – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 7 – ERP/RCM/Finance & Procurement | Evaluator Name | Choice/Dropdown | Yes | Evaluator Master | Lookup designation + department
Form 7 – ERP/RCM/Finance & Procurement | Evaluation Date | Choice/Date | Yes | Master Calendar | Production: show only today's scheduled date
Form 7 – ERP/RCM/Finance & Procurement | Vendor | Read-only / hidden | Yes | Evaluation Date → Vendor | Never allow manual vendor selection in production
Form 7 – ERP/RCM/Finance & Procurement | Designation | Read-only | Yes | Evaluator Name → Designation | Auto-populated
Form 7 – ERP/RCM/Finance & Procurement | Department | Read-only | Yes | Evaluator Name → Department | Auto-populated
Form 7 – ERP/RCM/Finance & Procurement | Billing – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 15.0%
Form 7 – ERP/RCM/Finance & Procurement | Billing – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 7 – ERP/RCM/Finance & Procurement | ERP integration – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 7 – ERP/RCM/Finance & Procurement | ERP integration – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 7 – ERP/RCM/Finance & Procurement | Revenue cycle/package management – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 7 – ERP/RCM/Finance & Procurement | Revenue cycle/package management – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 7 – ERP/RCM/Finance & Procurement | Procurement workflow – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 7 – ERP/RCM/Finance & Procurement | Procurement workflow – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 7 – ERP/RCM/Finance & Procurement | Inventory workflow – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 7 – ERP/RCM/Finance & Procurement | Inventory workflow – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 7 – ERP/RCM/Finance & Procurement | Finance workflow – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 15.0%
Form 7 – ERP/RCM/Finance & Procurement | Finance workflow – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 7 – ERP/RCM/Finance & Procurement | Billing/revenue-cycle integration – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 7 – ERP/RCM/Finance & Procurement | Billing/revenue-cycle integration – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 7 – ERP/RCM/Finance & Procurement | Reporting – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 7 – ERP/RCM/Finance & Procurement | Reporting – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
Form 7 – ERP/RCM/Finance & Procurement | SAP integration – Score | Choice 1–5 | Yes | Fixed scoring scale | Weight 10.0%
Form 7 – ERP/RCM/Finance & Procurement | SAP integration – Evidence / Notes | Long text | Recommended | Evaluator entry | Use for audit evidence
